REF_ID,PRED_ID,LOC_ID,STA_ID,GIS_STA_ID,STA_NUM,STA_NAME,STA_TYPE,COORD_DATA_SOURCE,STA_TRA_MDPT_LAT,STA_TRA_MDPT_LONG,STA_DEP,SAMP_DEP,TIME_ZONE,YEAR,MON,DAY,TIME,SEAS,BEG_TRA_LAT,BEG_TRA_LONG,BEG_TRA_DEP,BEG_TRA_SAMP_DEP,BEG_YEAR,BEG_MON,BEG_DAY,BEG_TIME,BEG_SEAS,END_TRA_LAT,END_TRA_LONG,END_TRA_DEP,END_TRA_SAMP_DEP,END_YEAR,END_MON,END_DAY,END_TIME,END_SEAS,TRA_LEN,TRA_WID,TRAWL_AREA,TRA_HT,TRA_VOL,HAB_SYSTEM,HAB_SUBSYSTEM,TIDAL_ZONE,REALM,PROVINCE,ECOREGION,SYS_CONF,STA_NOTES
16r,Mund.5,16r.1,16r.1,NA,26,NA,Trawl mid-point,Extracted from map provided with the reference.,27.99493513,-96.81354474,NA,NA,CDST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16r,Mund.5,16r.1,16r.2,NA,27,NA,Trawl mid-point,Extracted from map provided with the reference.,28.25797487,-96.40304334,NA,NA,CDST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16r,Mund.6,16r.2,16r.3,NA,31,NA,Trawl mid-point,Extracted from map provided with the reference.,29.27157909,-94.59031004,NA,NA,CDST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16r,Mund.6,16r.3,16r.4,NA,34,NA,Trawl mid-point,Extracted from map provided with the reference.,29.51339179,-93.18279929,NA,NA,CDST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16r,Mund.7,16r.4,16r.5,NA,85,NA,Trawl mid-point,Extracted from map provided with the reference.,29.15868669,-89.87088987,NA,NA,CDST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16r,Mund.7,16r.5,16r.6,NA,93,NA,Trawl mid-point,Extracted from map provided with the reference.,29.03115228,-89.09372701,NA,NA,CDST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16r,Mund.7,16r.5,16r.7,NA,97,NA,Trawl mid-point,Extracted from map provided with the reference.,29.13875944,-88.95423624,NA,NA,CDST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16r,Mund.8,16r.6,16r.8,NA,109,NA,Trawl mid-point,Extracted from map provided with the reference.,30.13910753,-88.87452723,NA,NA,CDST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16r,Mund.8,16r.6,16r.9,NA,111,NA,Trawl mid-point,Extracted from map provided with the reference.,29.79635878,-88.83068728,NA,NA,CDST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16r,Cchr.4,16r.1,16r.1,NA,34,NA,Trawl mid-point,Extracted from map provided with the reference.,29.51339179,-93.18279929,NA,NA,CDST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16r,Cchr.4,16r.1,16r.2,NA,35,NA,Trawl mid-point,Extracted from map provided with the reference.,29.2383957,-92.89584685,NA,NA,CDST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16r,Cchr.4,16r.1,16r.3,NA,36,NA,Trawl mid-point,Extracted from map provided with the reference.,29.22643935,-92.64874891,NA,NA,CDST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16r,Cchr.5,16r.2,16r.4,NA,38,NA,Trawl mid-point,Extracted from map provided with the reference.,28.98731232,-92.40165098,NA,NA,CDST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Cchr.1,24d.1,24d.1,NA,1,NA,Trawl mid-point,Coordinates were provided in reference 58c,29.13333333,-93.87222222,NA,NA,CDST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Cchr.1,24d.1,24d.2,NA,2,NA,Trawl mid-point,Coordinates were provided in reference 58c,28.95,-93.86666667,NA,NA,CDST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Cchr.1,24d.1,24d.3,NA,5,NA,Trawl mid-point,Coordinates were provided in reference 58c,29.08333333,-94.025,NA,NA,CDST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Cchr.1,24d.1,24d.4,NA,7,NA,Trawl mid-point,Coordinates were provided in reference 58c,28.91666667,-94.15277778,NA,NA,CDST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Cchr.1,24d.1,24d.5,NA,8,NA,Trawl mid-point,Coordinates were provided in reference 58c,28.78333333,-94.20833333,NA,NA,CDST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Cchr.1,24d.1,24d.6,NA,13,NA,Trawl mid-point,Coordinates were provided in reference 58c,28.95,-94.58611111,NA,NA,CDST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Cchr.1,24d.1,24d.7,NA,14,NA,Trawl mid-point,Coordinates were provided in reference 58c,28.78333333,-94.50555556,NA,NA,CDST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Cchr.1,24d.1,24d.8,NA,19,NA,Trawl mid-point,Coordinates were provided in reference 58c,28.73333333,-94.91666667,NA,NA,CDST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Cchr.1,24d.1,24d.9,NA,24,NA,Trawl mid-point,Coordinates were provided in reference 58c,28.70277778,-95.10833333,NA,NA,CDST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Cchr.1,24d.1,24d.10,NA,29,NA,Trawl mid-point,Coordinates were provided in reference 58c,28.55555556,-95.58333333,NA,NA,CDST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Cchr.1,24d.1,24d.11,NA,33,NA,Trawl mid-point,Coordinates were provided in reference 58c,28.51111111,-95.75,NA,NA,CDST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Cchr.1,24d.1,24d.12,NA,35,NA,Trawl mid-point,Coordinates were provided in reference 58c,28.30833333,-95.83333333,NA,NA,CDST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Cchr.1,24d.1,24d.13,NA,43,NA,Trawl mid-point,Coordinates were provided in reference 58c,28.23055556,-96.41666667,NA,NA,CDST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Cchr.1,24d.1,24d.14,NA,46,NA,Trawl mid-point,Coordinates were provided in reference 58c,28.00555556,-96.66666667,NA,NA,CDST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Cchr.1,24d.1,24d.15,NA,47,NA,Trawl mid-point,Coordinates were provided in reference 58c,27.97222222,-96.58333333,NA,NA,CDST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Cchr.1,24d.1,24d.16,NA,51,NA,Trawl mid-point,Coordinates were provided in reference 58c,27.84166667,-96.75833333,NA,NA,CDST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
