provided_interaction_type_label,provided_interaction_type_id,mapped_to_interaction_type_label,mapped_to_interaction_type_id
2nd associated organism with names lookup,https://www.inaturalist.org/observation_fields/2019,interacts with,http://purl.obolibrary.org/obo/RO_0002437
Associated parasitic / pathogenic organism with names lookup,https://www.inaturalist.org/observation_fields/2049,has parasite,http://purl.obolibrary.org/obo/RO_0002445
associated species alien to NZ,https://www.inaturalist.org/observation_fields/2345,interacts with,http://purl.obolibrary.org/obo/RO_0002437
Associated species with names lookup,https://www.inaturalist.org/observation_fields/1711,interacts with,http://purl.obolibrary.org/obo/RO_0002437
Associated With,https://www.inaturalist.org/observation_fields/2682,interacts with,http://purl.obolibrary.org/obo/RO_0002437
Being parasitized by,https://www.inaturalist.org/observation_fields/3041,has parasite,http://purl.obolibrary.org/obo/RO_0002445
Depredando,https://www.inaturalist.org/observation_fields/2976,preys on,http://purl.obolibrary.org/obo/RO_0002439
Drinking nectar from,https://www.inaturalist.org/observation_fields/876,has host,http://purl.obolibrary.org/obo/RO_0002454
Eaten by,https://www.inaturalist.org/observation_fields/879,eaten by,http://purl.obolibrary.org/obo/RO_0002471
Eating,https://www.inaturalist.org/observation_fields/13,eats,http://purl.obolibrary.org/obo/RO_0002470
Especie visitada,https://www.inaturalist.org/observation_fields/3465,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
Feeding on,https://www.inaturalist.org/observation_fields/1685,eats,http://purl.obolibrary.org/obo/RO_0002470
first nectar or pollen feeding insect,https://www.inaturalist.org/observation_fields/2054,pollinated by,http://purl.obolibrary.org/obo/RO_0002456
Food Source,https://www.inaturalist.org/observation_fields/2294,eats,http://purl.obolibrary.org/obo/RO_0002470
Forms gall on,https://www.inaturalist.org/observation_fields/877,interacts with,http://purl.obolibrary.org/obo/RO_0002437
Gall Inducer,https://www.inaturalist.org/observation_fields/682,interacts with,http://purl.obolibrary.org/obo/RO_0002437
honey bee food plant,https://www.inaturalist.org/observation_fields/1965,has host,http://purl.obolibrary.org/obo/RO_0002454
Hospedero,https://www.inaturalist.org/observation_fields/834,parasite of,http://purl.obolibrary.org/obo/RO_0002444
Host animal,https://www.inaturalist.org/observation_fields/1717,has host,http://purl.obolibrary.org/obo/RO_0002454
Host plant NZ,https://www.inaturalist.org/observation_fields/1712,has host,http://purl.obolibrary.org/obo/RO_0002454
host species with names lookup,https://www.inaturalist.org/observation_fields/2028,has host,http://purl.obolibrary.org/obo/RO_0002454
host to parasitic fungus,https://www.inaturalist.org/observation_fields/2297,parasite of,http://purl.obolibrary.org/obo/RO_0002444
Host,https://www.inaturalist.org/observation_fields/47,has host,http://purl.obolibrary.org/obo/RO_0002454
Hunted by,https://www.inaturalist.org/observation_fields/1542,preyed on by,http://purl.obolibrary.org/obo/RO_0002458
Hunting,https://www.inaturalist.org/observation_fields/1543,preys on,http://purl.obolibrary.org/obo/RO_0002439
Insect Host Plant,https://www.inaturalist.org/observation_fields/499,has host,http://purl.obolibrary.org/obo/RO_0002454
Insect Nectar Plant,https://www.inaturalist.org/observation_fields/498,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
Interaction: Ate fruit of,https://www.inaturalist.org/observation_fields/3128,eats,http://purl.obolibrary.org/obo/RO_0002470
Interaction: Ate seed of,https://www.inaturalist.org/observation_fields/3131,eats,http://purl.obolibrary.org/obo/RO_0002470
Interaction: Carcass scavenged by,https://www.inaturalist.org/observation_fields/3145,eaten by,http://purl.obolibrary.org/obo/RO_0002471
Interaction: Decomposer of,https://www.inaturalist.org/observation_fields/3143,interacts with,http://purl.obolibrary.org/obo/RO_0002437
Interaction: Egg(s) laid on/in,https://www.inaturalist.org/observation_fields/3314,interacts with,http://purl.obolibrary.org/obo/RO_0002437
Interaction: Flower visited by,https://www.inaturalist.org/observation_fields/3125,flowers visited by,http://purl.obolibrary.org/obo/RO_0002623
Interaction: Fruit eaten by,https://www.inaturalist.org/observation_fields/3127,eaten by,http://purl.obolibrary.org/obo/RO_0002471
Interaction: Herbivore of,https://www.inaturalist.org/observation_fields/3136,eats,http://purl.obolibrary.org/obo/RO_0002470
Interaction: Herbivory by,https://www.inaturalist.org/observation_fields/3135,eaten by,http://purl.obolibrary.org/obo/RO_0002471
Interaction: Infected by,https://www.inaturalist.org/observation_fields/3139,has pathogen,http://purl.obolibrary.org/obo/RO_0002557
Interaction: Nested in,https://www.inaturalist.org/observation_fields/3141,interacts with,http://purl.obolibrary.org/obo/RO_0002437
Interaction: Parasite/parasitoid of,https://www.inaturalist.org/observation_fields/3137,parasite of,http://purl.obolibrary.org/obo/RO_0002444
