"original","corrected","reference","notes"
"Chironomidae larvae","Chironomidae"
"Isopods","Isopoda"
"Cynosciona arenurius","Cynoscion arenarius"
"Airus felis","Ariopsis felis","James Simons personal communication April 2013, http://www.sms.si.edu/IRLSpec/Ariops_felis.htm retrieved April 7 2013", "Ariopsis felis is now the correct name, Arius felis is an old name."
"Arius felis","Ariopsis felis","James Simons personal communication April 2013, http://www.sms.si.edu/IRLSpec/Ariops_felis.htm retrieved April 7 2013", "Ariopsis felis is now the correct name, Arius felis is an old name."
"Unidentified insects","Insecta"
"Eggs","Animalia"
"Unidentifiable animal tissue","Animalia"
"Egg capsules","Animalia"
"Invertebrate eggs","Invertebrata"
"Neopunope sayi","Neopanope sayi"
"Gobiosoma robustom","Gobiosoma robustum"
"Lag rhomboides","Lagodon rhomboides"
"Unidentified gastropod","Gastropoda"
"Decopoda larvae","Decopoda"
"Catfish egg","Catfish"
"Cynoscion arenurius","Cynoscion arenarius"
"Seeds","Plantae"
"Teleost scales","Teleostei"
"Penaeid shrimp post larvae","Penaeidae"
"Cyp. Variegatus","Cyprinodon variegatus"
"Copepoda nauplii","Copepoda"
"Unid fish","Actinopterygii"
"Menidia berylina","Menidia beryllina"
"Cyprinodon varieagatus","Cyprinodon variegatus"
"Polycheate","Polycheata"
"Citharichtys macrops","Citharichthys macrops"
"Lei xanthurus","Leiostomus xanthurus"
"Molluks","Mollusca"
"Adina xenica","Adinia xenica"
"Unidentified fish larvae","Actinopterygii"
"Unidentified bivalve","Bivalvia"
"Cycloid fish scale","Actinopterygii"
"Other fundulus species","Fundulus spp"
"Gobiosex strumosus","Gobiesox strumosus"
"Fun grandis","Fundulus grandis"
"Citharichtys spilopterus","Citharichthys spilopterus"
"Nematode","Nematoda"
"Opi robinsi","Opisthonema robinsi"
"Unidentified bone","Animalia"
"Gobioosma bosc","Gobiosoma bosc"
"Anidia xenica","Adinia xenica"
"Euc gula","Eucinostomus gula"
"Fish eyes","Actinopterygii"
"Lucania parva eggs","Lucania parva"
"Sciaenops ocellatus*","Sciaenops ocellatus"
"Other Molluks","Mollusca"
"Bai chrysoura","Bairdiella chrysoura"
"Zoea","Decapoda"
"Other Ephemeroptera","Ephemeroptera"
"Fun majalis","Fundulus majalis"
"Unidentified fish","Actinopterygii"
"Mug cephalus","Mugil cephalus"
"Har jaguana","Harengula jaguana"
"Elo saurus","Elops saurus"
"Other Hymenoptera","Hymenoptera"
"Menida peninsulae","Menidia peninsulae"
"Cyprinodon variagatus","Cyprinodon variegatus"
"Other annelid worms","Annelida"
"Other Mollusks","Mollusca"
"Poe latipinna","Poecilia latipinna"
"Bivalves","Bivalvia"
"Mic gulosus","Microgobius gulosus"
"Bairdiella chyrsoura","Bairdiella chrysoura"
"Mug gyrans","Mugil gyrans"
"Eurypaopeus depressus","Eurypanopeus depressus"
"Other Gobiidae","Gobiidae"
"Unidentified insect larvae","Insecta"
"Mollusks","Mollusca"
"Flo carpio","Floridichthys carpio"
"Oligoliptes saurus","Oligoplites saurus"
"Ctenoid fish scale","Actinopterygii"
"Peneaus aztecus","Farfantepenaeus aztecus"
"Other fish eggs","Actinopterygii"
"Far duoraum","Farfantepenaeus duoraum"
"Logodon rhomboides","Lagodon rhomboides"
"Fish otolith","Actinopterygii"
"Synodus poey","Synodus poeyi"
"Neopenope sayi","Neopanope sayi"
"Cyn nebulosus","Cynoscion nebulosus"
"Other Sciaenidae species","Sciaenidae"
"Opi oglinum","Opisthonema oglinum"
"Luc parva","Lucania parva"
"Lucaina parva","Lucania parva"
"Sci ocellatus","Sciaenops ocellatus"
"Syngathus louisianae","Syngnathus louisanae"
"Lepiosteus oculatus","Lepisosteus oculatus"
"Micropoganias undulatus","Micropogonias undulatus"
"Syn foetens","Synodus foetens"
"Carrcharhinus limbatus","Carcharhinus limbatus"
"Squ empusa","Squilla empusa"
"Cynoiscon nebulosus","Cynoscion nebulosus"
"Gambuisa affinis","Gambusia affinis"
"Ari felis","Ariopsis felis"
"Peneaus setiferus","Litopenaeus setiferus"
"Litopeneaus setiferus","Litopenaeus setiferus","js","spelling error"
"Cyprid larvae","Barnacle"
"Bivalave","Bivalvia"
"Nemotoda","Nematoda"
"Citharicthys spilopterus","Citharichthys spilopterus"
"Synathus louisanae","Syngnathus louisanae"
"Archirus lineatus","Achirus lineatus"
"Fish bones","Actinopterygii"
"Ort chrysoptera","Orthopristis chrysoptera"
"Lagadon rhomboides","Lagodon rhomboides"
"Unidentified invertebrate","Invertebrata"
"Menida penunsilae","Menidia peninsulae"
"Neoponepe sayi","Neopanope sayi"
"Fundulus mojalis","Fundulus majalis"
"Fundulus jenkinsii","Fundulus jenkinsi"
"Gobioenellus boleosoma","Gobionellus boleosoma"
"Poecila latipinna","Poecilia latipinna"
"Litopeneaus setiferus","Litopenaeus setiferus"
"Bregmacerous contori", "Bregmaceros cantori"
"Anchoa mitchili","Anchoa mitchilli"
"Calllinectes sapidus","Callinectes sapidus"
"Palaemonotes pugio","Palaemonetes pugio"
"Syngnathus louisanae","Syngnathus louisianae"
"Round herring","Etrumeus sadina"
"Dusky flounder","Syacium papillosum"
"Shortjaw lizardfish","Saurida normani"
"Blackmouth bass","Synagrops bellus"
"Shortwing searobin","Prionotus stearnsi"
"Bank seabass","Centropristis ocyurus"
"Dwarf goatfish","Upeneus parvus"
"Red goatfish","Mullus auratus"
"Longfin scorpionfish","Scorpaena agassizii"
"Bearded brotula","Brotula barbata"
"Elasmobranch","Elasmobranchii"
"Longspine porgy","Stenotomus caprinus"
"Longspine swimming Crab","Portunus spinicarpus"
"Vermillion snapper","Rhomboplites aurorubens"
