provided_interaction_type_label,provided_interaction_type_id,mapped_to_interaction_type_label,mapped_to_interaction_type_id
associated with,,interactsWith,http://purl.obolibrary.org/obo/RO_0002437
plant associations,,interactsWith,http://purl.obolibrary.org/obo/RO_0002437
,,interactsWith,http://purl.obolibrary.org/obo/RO_0002437
ex,,hasHost,http://purl.obolibrary.org/obo/RO_0002454
ex.,,hasHost,http://purl.obolibrary.org/obo/RO_0002454
reared ex,,hasHost,http://purl.obolibrary.org/obo/RO_0002454
reared ex.,,hasHost,http://purl.obolibrary.org/obo/RO_0002454
host to,,hostOf,http://purl.obolibrary.org/obo/RO_0002453
host,,hasHost,http://purl.obolibrary.org/obo/RO_0002454
host plant,,hasHost,http://purl.obolibrary.org/obo/RO_0002454
h,,hasHost,http://purl.obolibrary.org/obo/RO_0002454
larval foodplant,,eats,http://purl.obolibrary.org/obo/RO_0002470
ectoparasite of,,ectoparasiteOf,http://purl.obolibrary.org/obo/RO_0002632
parasite of,,parasiteOf,http://purl.obolibrary.org/obo/RO_0002444
parasitize,,parasiteOf,http://purl.obolibrary.org/obo/RO_0002444
stomach contents of,,eatenBy,http://purl.obolibrary.org/obo/RO_0002471
stomach contents,,eats,http://purl.obolibrary.org/obo/RO_0002470
has stomach contents,,eats,http://purl.obolibrary.org/obo/RO_0002470
eaten by,,eatenBy,http://purl.obolibrary.org/obo/RO_0002471
(ate),,eats,http://purl.obolibrary.org/obo/RO_0002470
(eaten by),,eatenBy,http://purl.obolibrary.org/obo/RO_0002471
eat,,eats,http://purl.obolibrary.org/obo/RO_0002470
(parasite of),,parasiteOf,http://purl.obolibrary.org/obo/RO_0002444
(host of),,hasParasite,http://purl.obolibrary.org/obo/RO_0002445
(in amplexus with),,interactsWith,http://purl.obolibrary.org/obo/RO_0002437
consumption,,eats,http://purl.obolibrary.org/obo/RO_0002470
consume,,eats,http://purl.obolibrary.org/obo/RO_0002470
feed on,,eats,http://purl.obolibrary.org/obo/RO_0002470
flower predator,,eats,http://purl.obolibrary.org/obo/RO_0002470
flower visitor,,visitsFlowersOf,http://purl.obolibrary.org/obo/RO_0002622
folivory,,eats,http://purl.obolibrary.org/obo/RO_0002470
fruit thief,,eats,http://purl.obolibrary.org/obo/RO_0002470
ingestion,,eats,http://purl.obolibrary.org/obo/RO_0002470
pollinator,,pollinates,http://purl.obolibrary.org/obo/RO_0002455
seed disperser,,vectorOf,http://purl.obolibrary.org/obo/RO_0002459
seed predator,,eats,http://purl.obolibrary.org/obo/RO_0002470
vector of,,vectorOf,http://purl.obolibrary.org/obo/RO_0002459
transmit,,vectorOf,http://purl.obolibrary.org/obo/RO_0002459
found on,,adjacentTo,http://purl.obolibrary.org/obo/RO_0002220
found in,,adjacentTo,http://purl.obolibrary.org/obo/RO_0002220
visitsflowersof,,visitsFlowersOf,http://purl.obolibrary.org/obo/RO_0002622
collected on,,adjacentTo,http://purl.obolibrary.org/obo/RO_0002220
on milkweed,,adjacentTo,http://purl.obolibrary.org/obo/RO_0002220
reared from,,interactsWith,http://purl.obolibrary.org/obo/RO_0002437
emerged ex,,interactsWith,http://purl.obolibrary.org/obo/RO_0002437
emerged from,,interactsWith,http://purl.obolibrary.org/obo/RO_0002437
collected in,,interactsWith,http://purl.obolibrary.org/obo/RO_0002437
hyperparasitoid of,,hyperparasiteOf,http://purl.obolibrary.org/obo/RO_0002553
kleptoparasitize,,kleptoparasiteOf,http://purl.obolibrary.org/obo/RO_0008503
on,,adjacentTo,http://purl.obolibrary.org/obo/RO_0002220
under,,interactsWith,http://purl.obolibrary.org/obo/RO_0002437
inside,,interactsWith,http://purl.obolibrary.org/obo/RO_0002437
in,,interactsWith,http://purl.obolibrary.org/obo/RO_0002437
dispersalVector,http://eol.org/schema/terms/DispersalVector,vectorOf,http://purl.obolibrary.org/obo/RO_0002459
hasDispersalVector,http://eol.org/schema/terms/HasDispersalVector,hasVector,http://purl.obolibrary.org/obo/RO_0002460
dispersalVectorOf,,vectorOf,http://purl.obolibrary.org/obo/RO_0002459
perchingOn,,adjacentTo,http://purl.obolibrary.org/obo/RO_0002220
perchedOnBy,,adjacentTo,http://purl.obolibrary.org/obo/RO_0002220
endoparasitoidOf,,endoparasiteOf,http://purl.obolibrary.org/obo/RO_0002634
hasEndoparasitoid,,hasEndoparasite,http://purl.obolibrary.org/obo/RO_0002635
hasEctoparasitoid,,hasEctoparasite,http://purl.obolibrary.org/obo/RO_0002633
ectoParasitoid,,ectoparasiteOf,http://purl.obolibrary.org/obo/RO_0002632
farmedBy,,interactsWith,http://purl.obolibrary.org/obo/RO_0002437
farms,,interactsWith,http://purl.obolibrary.org/obo/RO_0002437
damagedBy,,interactsWith,http://purl.obolibrary.org/obo/RO_0002437
damages,,interactsWith,http://purl.obolibrary.org/obo/RO_0002437
isHabitatOf,,createsHabitatFor,http://purl.obolibrary.org/obo/RO_0008505
feeding on,,eats,http://purl.obolibrary.org/obo/RO_0002470
collected from,,interactsWith,http://purl.obolibrary.org/obo/RO_0002437
host of,,hostOf,http://purl.obolibrary.org/obo/RO_0002453
from,,interactsWith,http://purl.obolibrary.org/obo/RO_0002437
visiting,,visits,http://purl.obolibrary.org/obo/RO_0002618
infect,,pathogenOf,http://purl.obolibrary.org/obo/RO_0002556
prey on,,preysOn,http://purl.obolibrary.org/obo/RO_0002439
compete with,,coOccursWith,http://purl.obolibrary.org/obo/RO_0008506
predate,,preysOn,http://purl.obolibrary.org/obo/RO_0002439
graze,,eats,http://purl.obolibrary.org/obo/RO_0002470
ingest,,eats,http://purl.obolibrary.org/obo/RO_0002470
cause disease,,pathogenOf,http://purl.obolibrary.org/obo/RO_0002556
forage on,,eats,http://purl.obolibrary.org/obo/RO_0002470
disperse,,vectorOf,http://purl.obolibrary.org/obo/RO_0002459
cause disease in,,pathogenOf,http://purl.obolibrary.org/obo/RO_0002556
parasitise,,parasiteOf,http://purl.obolibrary.org/obo/RO_0002444
prey upon,,preysOn,http://purl.obolibrary.org/obo/RO_0002439
